state,district,annual
KARNATAKA,BANGALORE URB,72.5
KARNATAKA,CHAMARAJANAGA,65.66666667
KARNATAKA,DAVANGERE,56.33333333
KARNATAKA,RAMNAGAR(BNGR),73.58333333
KARNATAKA,CHICKBALLAPUR,62.33333333
KERALA,ALAPPUZHA,236.75
KERALA,CANNUR,276.5833333
KERALA,ERNAKULAM,252.4166667
KERALA,KOTTAYAM,244.1666667
KERALA,KOZHIKODE,282
KERALA,MALAPPURAM,236.25
KERALA,PALAKKAD,190.8333333
KERALA,KOLLAM,207.5833333
KERALA,THRISSUR,255.25
KERALA,THIRUVANANTHA,150.25
KERALA,IDUKKI,275.1666667
KERALA,KASARGOD,301.75
KERALA,PATHANAMTHITTA,246.5
KERALA,WAYANAD,271.0833333
LAKSHADWEEP,LAKSHADWEEP,133.3333333
